	class	heikinvx	heikinvy	heikinvz	heikina12	heikina13	heikina23	bunsanvx	bunsanvy	bunsanvz	bunsana12	bunsana13	bunsana23	zheikinvx	zheikinvy	zheikinvz
1	1	0.000551724	0.000448276	-0.000517241	0.000482759	-0.003206897	-0.001586207	1.27E-05	3.42E-06	1.93E-05	6.94E-06	5.00E-05	2.24E-05	0.000868687	0.000393939	0.001080808
2	1	0.000275862	0.000758621	-0.000344828	0.000517241	-0.00237931	-0.001137931	1.01E-05	3.77E-06	7.25E-06	8.94E-06	6.97E-05	1.27E-05	0.000787879	0.000424242	0.000808081
3	2	-0.000241379	0.000655172	-0.000724138	-0.000310345	0.000172414	-0.000896552	2.27E-05	8.43E-06	3.00E-05	1.01E-05	6.35E-05	2.60E-05	0.001141414	0.000616162	0.000959596
4	2	0.001689655	0.000758621	-3.45E-05	-0.001413793	-0.001034483	-0.000655172	1.95E-05	1.21E-05	2.40E-05	6.17E-06	5.02E-05	3.67E-05	0.001020202	0.000727273	0.001262626
5	3	0.000448276	-0.000241379	0.000724138	-3.45E-05	-0.000275862	0.001310345	6.45E-06	1.98E-06	0.000005875	6.59E-06	2.63E-05	1.99E-05	0.000575758	0.000313131	0.000737374
6	3	-0.000172414	0.000551724	-0.00037931	0.000310345	-0.000689655	-0.000551724	9.66E-06	1.63E-06	6.37E-06	9.32E-06	1.99E-05	1.53E-05	0.00069697	0.000323232	0.000616162
7	4	3.45E-05	0.001413793	-0.000482759	-0.000172414	-0.000551724	-0.001103448	4.45E-06	8.24E-06	5.86E-06	7.38E-06	5.83E-06	6.09E-06	0.000494949	0.00069697	0.000606061
8	4	0.000241379	-0.002275862	0.000448276	0.000275862	-0.001931034	0.000827586	1.36E-05	8.20E-06	1.46E-05	7.79E-06	4.93E-05	1.35E-05	0.00079798	0.000767677	0.000757576
9	5	0	0	0	0	0	0	0	0	0	0.00E+00	0	0.00E+00	0	0	0
10	5	0	0	0	0	0	0	0	0	0	0	0	0.00E+00	0	0	0
11	5	0	0	0	0	0	0	0	0	0	0.00E+00	0	0.00E+00	0	0	0
12	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	5	0	0	0	0	0	0	0	0	0	0.00E+00	0	0.00E+00	0	0	0
14	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
