	class	heikinvx	heikinvy	heikinvz	heikina12	heikina13	heikina23	bunsanvx	bunsanvy	bunsanvz	bunsana12	bunsana13	bunsana23	zheikinvx	zheikinvy	zheikinvz
1	1	0.00213	-0.0139	0.00302	0.00186	-0.00237	0.00233	0.001958353	0.01030131	0.0001841	6.61E-05	0.001395253	7.62E-05	0.038090909	0.019787879	0.011181818
2	1	0.0019	-0.01213	0.0038	0.00065	-0.00352	0.00112	0.00195655	0.010300773	0.00018846	5.88E-05	0.00152651	6.35E-05	0.038171717	0.018383838	0.011080808
3	1	0.00385	-0.00253	0.00537	0.00182	-0.005875	0.00107	0.001975168	0.000110029	0.000226553	0.000102288	0.001681407	8.40E-05	0.038484848	0.009010101	0.012747475
4	1	0.00020303	-0.000242424	0.01	0.004515152	-0.004484848	0.000333333	0.007797907	0.000347335	0.000912061	5.12E-05	0.00582025	6.48E-05	0.028073626	0.004307692	0.009604396
5	1	-0.002151515	-0.001151515	0.003666667	0.001757576	-0.002	0.000939394	0.003550189	0.000110856	0.00043598	0.000139941	0.002854061	0.000102663	0.04930303	0.007757576	0.017666667
6	1	0.0018125	0.001125	0.0004375	0.0006875	0.00325	-0.00075	0.002781152	0.000227234	0.000330121	4.91E-05	0.002141938	8.91E-05	0.006758242	0.002131868	0.002450549
7	1	0.0030625	0.005875	0.0049375	-0.0021875	-0.003125	-0.0036875	0.004025059	0.000370984	0.000524559	0.000188277	0.003423234	0.000269715	0.0558125	0.01675	0.0199375
8	2	-0.000241379	0.000655172	-0.000724138	-0.000310345	0.000172414	-0.000896552	2.27E-05	8.43E-06	3.00E-05	1.01E-05	6.35E-05	2.60E-05	0.001141414	0.000616162	0.000959596
9	2	0.001689655	0.000758621	-3.45E-05	-0.001413793	-0.001034483	-0.000655172	1.95E-05	1.21E-05	2.40E-05	6.17E-06	5.02E-05	3.67E-05	0.001020202	0.000727273	0.001262626
10	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	3	0	0	0	0	0	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0	0
